PMID,label,method
33282516,other,light scattering imaging
33277192,text mining,CNN-based breast cancer risk score
33276260,both,Deep learning
33270183,other,approachable way
33269413,both,convolutional neural network
33267817,text mining,group method of data handling
33262363,other,3D super resolution microscopy
33248508,other,metamodeling approach with nonparametric and deep learning methods
33237975,other,Deep learning-based CAD
33236007,other,AI-Driven Multiscale Simulations
33232663,text mining,screening
33232368,text mining,reverse transcription polymerase chain reaction
33231239,other,electro-deformation
33230503,other,interpreting chest radiographs
33230180,other,"machine learning predictive model, drug-likeness screening and molecular docking"
33223418,computer vision,Transfer learning with fine-tuning
33222319,text mining,univariate statistics and neural analysis
33221381,text mining,chest computed tomography
33218680,text mining,deep learning
33208927,other,deep learning algorithm
33207310,both,7 extracted topics
33204404,other,advanced intelligent computing
33199801,other,Deep Learning techniques
33194303,other,deep learning and machine learning techniques
35019473,text mining,POC sensing technology
33189772,text mining,Machine learning
33179733,text mining,Univariate Cox regression analysis and LASSO Cox regression method
33178576,other,Deep learning algorithms
33172432,other,filters and Boolean searches
33170789,text mining,COVID Smart Data based Network
33166392,text mining,curated literature hub
33166256,text mining,computed tomography (CT) images
33165308,other,smartcare approaches
33161334,other,training deep neural networks for COVID-19 classification
33155881,text mining,deep learning-based approaches
33146796,both,univariate and multivariate logistic regression
33138951,other,machine learning
33137140,other,stock-difference approach
33137098,other,curation of literature-derived functional studies
33128598,both,deep learning segmentation
33123133,other,deep machine learning algorithms
33108303,both,De-COVID19-Net
33106753,computer vision,AmpFire™
33092313,other,DNN model
33091743,text mining,deep learning based image segmentation
33088315,other,DLNN strategy
33087340,computer vision,DL-based DR screening
33081700,text mining,chest computed tomography
33072179,both,deep-learning
33067538,text mining,computer-aided diagnosis
33067442,other,deep learning model
33064571,text mining,"topological data analysis, a variety of network models, and deep learning"
33059369,other,by learning environment features automatically
33059061,other,RMAN
33048773,other,Multi-slice Deep Learning System
33045744,other,Seeker
33044938,other,deep learning
33033164,text mining,"routinely collected laboratory variables, vital signs, and comorbidities"
33027971,text mining,machine-learning techniques
33014121,other,chest CT toward AI
33008368,other,machine learning
32998878,other,deep learning framework
32996368,other,guidelines for PRISMA extension for scoping reviews
32992136,computer vision,computer-aided diagnosis
32971995,other,deep learning
32970677,other,deep learning
32968435,other,preprocessing protocol
32961734,text mining,deep learning
32956069,text mining,machine learning techniques from natural language processing
32946413,both,AI-based assessment
32945968,text mining,Multivariate analyses
32944604,other,annotated corpus
32941452,other,three different methods
32938394,both,convolutional neural network
32932748,other,Convolutional Neural Networks
32917665,text mining,deep learning
32915901,text mining,multivariable logistic regression analysis with generalized estimating equations
32909908,other,Bootstrap sampling
32907811,computer vision,Guided GradCAM
32885818,other,actGAN
32877350,other,deep learning
32870314,text mining,deep learning RNN models
32866798,other,comorbidity network-based deep learning framework
32866413,both,validation data sets
32864315,other,multilayer perceptron method
32837918,other,Convolutional neural network
32832279,computer vision,light microscopy
32832047,other,Deep CNN based approaches
32826613,both,experts' consensus
32824342,other,Deep Learning with EHR
32823321,other,satellite images and deep learning
32818087,both,3-Continent harmonization classification
32815519,other,Cohen's kappa analysis
32805577,other,novel
32797044,other,Adipocyte U-Net
32774444,computer vision,bagging integrated classification algorithm
32763892,both,deep learning techniques
32763377,other,Brute Force method
32761609,both,deep learning (DL) models
32752997,other,novel methodology
32750973,other,deep learning
32750931,other,natural language process
32750891,other,Memetic Adaptive Differential Evolution (MADE) algorithm
32750006,both,web scraping
32735549,other,adaptive ANN trained on data at a single site
32716641,other,"COVID-19 Propagation Model
"
32706807,text mining,deep learning algorithms
32699245,other,deep learning
32698440,text mining,deep-learning-based drug-target affinity prediction model
32691905,text mining,automatic segmentation model
32683550,other,deep learning-based
32683454,other,deep learning
32681241,other,random forest and SVM
32661715,computer vision,machine learning
32658721,computer vision,Ensemble learning with deep neural networks
32654489,other,deep-learning
32633720,other,deep neural networks
32617690,both,deep learning algorithm
32616597,other,machine-learning model
32584382,other,cloud-based implementation
32573386,text mining,retrospective analysis
32565384,other,Deep Learning
32562732,other,computed tomography
32534243,computer vision,deep learning
32498999,other,deep learning
32497840,other,deep learning
32493320,text mining,AI-guided digital colposcopy
32492161,both,analytical approach
32488835,other,deep learning based method
32486055,other,algorithm
32474553,other,Phylodynamic analyses
32471642,other,deep learning
32469924,other,machine learning model
32467506,other,artificial intelligence
32459641,computer vision,convolutional neural network model
32456114,both,deep learning techniques
32438586,other,"black box"" deep learning methods"
32429941,other,weight the genes with the scores
32403349,both,ML methods
32380115,both,DL
32371116,text mining,real-time colonoscopy
32362553,computer vision,RetiSort
32353457,both,ultraviolet germicidal irradiation
32343252,other,deep neural network
32333046,other,Machine learning
32332844,other,logistic regression
32326730,other,deep learning algorithm
32308815,other,deep-learning techniques
32285025,computer vision,deep convolutional neural network
32277893,computer vision,Automated Breast Cancer Detection
32255249,other,data science
32234709,other,data mining
32222370,both,retrospective cohort analysis
32204950,text mining,Machine-learning
32197913,both,deep learning system
32174053,text mining,genetic sequencing
32162456,text mining,DD
32124225,computer vision,deep convolutional neural networks
32066619,other,"Modernizing Population Science."""
32062185,computer vision,Feature rearrangement based convolutional layer
32049304,other,Deep Learning Prediction Model
32035934,text mining,artificial neural network
32019699,computer vision,Automatic Deep Learning Retinal OCT Analysis
32013791,text mining,multitask deep learning model
32012148,other,deep learning
